GEO_ID,NAME,housing_units,vacant_units,owner_units,renter_units
1400000US36005005001,"Census Tract 50.01, Bronx County, New York",1651,86,201,1364
1400000US36005005002,"Census Tract 50.02, Bronx County, New York",1982,111,45,1826
1400000US36005005100,"Census Tract 51, Bronx County, New York",2143,60,0,2083
1400000US36005005200,"Census Tract 52, Bronx County, New York",879,45,28,806
1400000US36005005300,"Census Tract 53, Bronx County, New York",1694,103,0,1591
1400000US36005005400,"Census Tract 54, Bronx County, New York",1977,195,283,1499
1400000US36005005600,"Census Tract 56, Bronx County, New York",1009,137,161,711
1400000US36005005902,"Census Tract 59.02, Bronx County, New York",1084,67,241,776
1400000US36005006000,"Census Tract 60, Bronx County, New York",423,38,31,354
1400000US36005006100,"Census Tract 61, Bronx County, New York",2328,185,1042,1101
1400000US36005006200,"Census Tract 62, Bronx County, New York",2528,166,76,2286
1400000US36005006300,"Census Tract 63, Bronx County, New York",1988,97,176,1715
1400000US36005006400,"Census Tract 64, Bronx County, New York",1425,88,265,1072
1400000US36005006500,"Census Tract 65, Bronx County, New York",2027,79,45,1903
1400000US36005006700,"Census Tract 67, Bronx County, New York",2431,95,124,2212
1400000US36005006800,"Census Tract 68, Bronx County, New York",1066,50,296,720
1400000US36005006900,"Census Tract 69, Bronx County, New York",2825,86,243,2496
1400000US36005007000,"Census Tract 70, Bronx County, New York",1408,112,284,1012
1400000US36005007100,"Census Tract 71, Bronx County, New York",1008,12,375,621
1400000US36005007200,"Census Tract 72, Bronx County, New York",1701,68,293,1340
1400000US36005007300,"Census Tract 73, Bronx County, New York",1478,50,24,1404
1400000US36005007400,"Census Tract 74, Bronx County, New York",1427,101,465,861
1400000US36005007500,"Census Tract 75, Bronx County, New York",2456,160,296,2000
1400000US36005007600,"Census Tract 76, Bronx County, New York",1770,100,355,1315
1400000US36005007700,"Census Tract 77, Bronx County, New York",633,28,151,454
1400000US36005007800,"Census Tract 78, Bronx County, New York",2253,136,392,1725
1400000US36005007900,"Census Tract 79, Bronx County, New York",2484,107,26,2351
1400000US36005008300,"Census Tract 83, Bronx County, New York",2183,125,267,1791
1400000US36005008400,"Census Tract 84, Bronx County, New York",788,45,505,238
1400000US36005008500,"Census Tract 85, Bronx County, New York",2018,85,311,1622
1400000US36005008600,"Census Tract 86, Bronx County, New York",1485,19,108,1358
1400000US36005008700,"Census Tract 87, Bronx County, New York",2129,92,61,1976
1400000US36005008900,"Census Tract 89, Bronx County, New York",1284,129,62,1093
1400000US36005009000,"Census Tract 90, Bronx County, New York",1217,20,246,951
1400000US36005009200,"Census Tract 92, Bronx County, New York",1969,136,462,1371
1400000US36005009300,"Census Tract 93, Bronx County, New York",1965,272,138,1555
1400000US36005009600,"Census Tract 96, Bronx County, New York",824,50,261,513
1400000US36005009800,"Census Tract 98, Bronx County, New York",1821,139,783,899
1400000US36005011000,"Census Tract 110, Bronx County, New York",0,0,0,0
1400000US36005011502,"Census Tract 115.02, Bronx County, New York",1482,232,70,1180
1400000US36005011700,"Census Tract 117, Bronx County, New York",620,75,11,534
1400000US36005011800,"Census Tract 118, Bronx County, New York",1649,44,1114,491
1400000US36005011900,"Census Tract 119, Bronx County, New York",2094,174,107,1813
1400000US36005012101,"Census Tract 121.01, Bronx County, New York",1015,89,236,690
1400000US36005012102,"Census Tract 121.02, Bronx County, New York",538,27,4,507
1400000US36005012300,"Census Tract 123, Bronx County, New York",1643,144,113,1386
1400000US36005012500,"Census Tract 125, Bronx County, New York",1489,141,223,1125
1400000US36005012701,"Census Tract 127.01, Bronx County, New York",819,96,130,593
1400000US36005012901,"Census Tract 129.01, Bronx County, New York",1596,109,101,1386
1400000US36005013000,"Census Tract 130, Bronx County, New York",482,19,305,158
1400000US36005013100,"Census Tract 131, Bronx County, New York",1857,189,228,1440
1400000US36005013200,"Census Tract 132, Bronx County, New York",2541,58,1734,749
1400000US36005013300,"Census Tract 133, Bronx County, New York",2432,80,130,2222
1400000US36005013500,"Census Tract 135, Bronx County, New York",1533,118,89,1326
1400000US36005013800,"Census Tract 138, Bronx County, New York",1208,138,660,410
1400000US36005014100,"Census Tract 141, Bronx County, New York",2292,110,145,2037
1400000US36005014300,"Census Tract 143, Bronx County, New York",642,0,28,614
1400000US36005014400,"Census Tract 144, Bronx County, New York",2376,87,311,1978
1400000US36005014500,"Census Tract 145, Bronx County, New York",2409,29,90,2290
1400000US36005014701,"Census Tract 147.01, Bronx County, New York",2061,77,8,1976
1400000US36005014702,"Census Tract 147.02, Bronx County, New York",1659,0,0,1659
1400000US36005014900,"Census Tract 149, Bronx County, New York",1710,87,155,1468
1400000US36005015100,"Census Tract 151, Bronx County, New York",1938,206,285,1447
1400000US36005015200,"Census Tract 152, Bronx County, New York",956,46,525,385
1400000US36005015300,"Census Tract 153, Bronx County, New York",1685,99,244,1342
1400000US36005015500,"Census Tract 155, Bronx County, New York",1119,8,76,1035
1400000US36005015700,"Census Tract 157, Bronx County, New York",1603,87,168,1348
1400000US36005015800,"Census Tract 158, Bronx County, New York",561,92,198,271
1400000US36005015900,"Census Tract 159, Bronx County, New York",705,15,47,643
1400000US36005016000,"Census Tract 160, Bronx County, New York",1642,81,841,720
1400000US36005016100,"Census Tract 161, Bronx County, New York",1856,104,30,1722
1400000US36005016200,"Census Tract 162, Bronx County, New York",617,41,332,244
1400000US36005016300,"Census Tract 163, Bronx County, New York",0,0,0,0
1400000US36005016400,"Census Tract 164, Bronx County, New York",477,44,258,175
1400000US36005016500,"Census Tract 165, Bronx County, New York",394,53,7,334
